,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index
2304,18000000.0,5.380733,83769672.29056203,116.0,6.1,12.0,31318,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1.028432745066148
2305,29584033.767974548,5.625989,83769672.29056203,110.0,6.8,69.0,38605,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.093615631527257
2306,19000000.0,30.205942999999998,108047131.0,90.0,6.0,588.0,34482,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.8284561498355205
2307,19000000.0,26.441669,32801173.0,114.0,7.3,638.0,33621,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.8989031013521465
2308,15000000.0,15.262492000000002,46770602.0,93.0,6.0,381.0,34552,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5368057705566893
2309,29584033.767974548,1.583918,83769672.29056203,107.0,5.8,11.0,37368,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015498329333657697
2310,18500000.0,44.511363,10680275.0,118.0,7.2,1301.0,31962,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.699979779383037
2311,18500000.0,16.665841,31912793.0,100.0,6.0,518.0,36094,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5.738070566559135
2312,18000000.0,36.471231,268157400.0,96.0,6.2,2713.0,37792,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.408334203781358
2313,23000000.0,85.30318,351583407.0,101.0,6.6,2472.0,30569,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,11.421784522526275
2314,18000000.0,20.716023,151668774.0,104.0,6.9,993.0,28322,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.17902160510619702
2315,18000000.0,29.487784,261572744.0,82.0,6.5,1579.0,35047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.7813900070489246
2316,18000000.0,25.43954,141774679.0,96.0,6.1,882.0,33110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8518082803051905
2317,18000000.0,15.314027,87000000.0,105.0,6.4,434.0,26858,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6114795391643127
2318,19000000.0,32.602868,144216468.0,122.0,6.3,659.0,34629,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.5225453158086134
2319,17000000.0,9.832326,65535067.0,88.0,5.5,308.0,32529,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4339532213424155
2320,16000000.0,33.452469,19682924.0,110.0,3.7,392.0,37940,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.552304099890347
2321,29584033.767974548,14.190837,83769672.29056203,103.0,6.2,249.0,34725,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3.451632892663608
2322,18000000.0,6.501815000000001,65070412.0,106.0,5.6,74.0,34031,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.10426148824460632
2323,23000000.0,26.588729999999998,76488889.0,91.0,6.5,656.0,33976,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.9242640038981317
2324,16500000.0,36.15716,67683989.0,94.0,6.5,1013.0,31577,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.4272552377268406
2325,18000000.0,16.027955,88923251.0,94.0,5.5,322.0,38477,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.06827691623316295
2326,21000000.0,14.329891,72417394.0,99.0,6.3,238.0,36652,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.143299756201815
