,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign
153,145000000,77.77476999999999,694713380,133.0,6.8,3972,36909,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,145000000,61.788035,306941670,97.0,7.1,1922,37259,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
155,100000000,25.159167999999998,202026112,90.0,5.9,627,34732,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,140000000,52.341226,456758981,154.0,7.3,1895,33985,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
157,140000000,101.599427,268031828,150.0,5.6,1921,38001,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,150000000,73.61680799999999,385680446,127.0,7.4,4518,35964,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,139000000,82.502566,821708551,121.0,6.8,5265,33402,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,145000000,100.21391,609123048,102.0,7.6,3106,37827,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
161,140000000,56.257249,150680864,127.0,5.3,1277,38450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,135000000,17.88953,76932943,121.0,4.9,331,34586,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,130000000,64.798873,185258983,163.0,7.0,2811,35902,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164,140000000,24.855701,285444603,127.0,6.3,767,32011,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
165,137000000,34.981698,245360480,138.0,5.3,1533,33816,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166,130000000,59.325589,371876278,110.0,5.4,3025,37384,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,130000000,21.605567999999998,119269486,124.0,5.7,434,34473,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
168,137000000,26.074907999999997,85131830,106.0,5.9,433,33099,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
169,140000000,74.50624599999999,370569774,124.0,6.6,7047,36771,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,135000000,39.604363,361832400,128.0,6.0,862,32497,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
171,150000000,36.973031,212011111,138.0,6.9,790,33964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,120000000,99.687084,829000000,115.0,6.1,2553,37251,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
173,130000000,17.7735,150406466,100.0,5.8,373,36889,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
174,150000000,62.898336,163712074,114.0,6.1,3021,35636,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,140000000,44.19092,183345589,120.0,6.0,1000,38547,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
176,135000000,100.635882,532950503,156.0,7.3,6396,38388,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
177,135000000,44.765377,282570682,96.0,6.1,1074,37491,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
178,135000000,29.913529999999998,245724603,107.0,6.6,2051,36629,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
179,132000000,84.366984,373552094,92.0,6.5,1346,37990,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
180,70000000,45.381501,442824138,115.0,7.3,2888,35322,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
181,130000000,84.68964799999999,631744560,90.0,6.9,3145,35628,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
182,130000000,120.09361000000001,519311965,117.0,7.0,5880,38224,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
